id,valor,peso,volumen,categoria
1,381,80,96,1
2,735,78,60,3
3,164,45,16,1
4,67,46,87,2
5,605,15,71,4
6,30,6,97,4
7,834,94,22,1
8,190,100,19,4
9,311,62,53,1
10,438,3,30,3
11,616,40,14,1
12,299,98,37,2
13,461,10,79,4
14,207,39,52,5
15,597,47,5,5
16,612,69,18,3
17,74,2,95,5
18,966,57,81,2
19,311,2,10,2
20,688,25,45,4
21,130,61,50,5
22,44,18,91,2
23,266,19,67,4
24,318,43,53,2
25,551,57,19,1
26,970,85,78,3
27,941,40,90,5
28,602,73,93,2
29,97,58,20,3
30,54,97,33,5
31,395,75,28,3
32,831,59,36,5
33,288,61,55,2
34,149,30,81,1
35,83,2,99,3
36,775,40,20,2
37,15,2,82,1
38,710,72,73,4
39,774,61,8,5
40,365,66,12,5
41,865,86,63,3
42,337,10,7,2
43,318,67,33,4
44,733,60,64,2
45,889,57,48,2
46,128,98,72,5
47,763,73,57,2
48,774,26,50,1
49,528,72,43,1
50,35,44,11,2
51,41,90,64,3
52,321,57,51,4
53,909,14,25,4
54,416,54,76,2
55,236,95,8,3
56,297,70,17,5
57,931,63,81,2
58,637,11,88,3
59,806,22,19,3
60,894,89,54,2
61,810,13,90,2
62,325,91,12,2
63,235,65,43,1
64,820,36,87,2
65,16,17,52,3
66,423,49,23,4
67,128,27,34,2
68,944,17,33,2
69,524,56,71,3
70,370,7,98,2
71,963,25,26,4
72,502,72,31,1
73,292,100,4,2
74,614,98,51,3
75,61,4,28,2
76,910,64,24,4
77,153,54,49,3
78,986,56,25,3
79,676,9,77,2
80,245,25,73,5
81,374,48,64,5
82,637,40,54,5
83,99,80,84,1
84,327,51,19,4
85,50,86,60,2
86,681,23,2,4
87,517,81,23,2
88,649,10,18,5
89,694,40,39,3
90,938,84,14,4
91,347,74,12,2
92,926,55,88,4
93,265,23,66,1
94,819,99,56,3
95,534,27,25,5
96,102,97,90,3
97,902,89,64,1
98,345,28,35,4
99,729,85,90,5
100,889,41,78,5
101,646,86,9,5
102,170,79,90,4
103,610,59,1,2
104,110,95,67,5
105,15,29,17,2
106,553,49,70,3
107,656,100,23,1
108,715,2,24,3
109,332,18,75,2
110,653,75,85,4
111,661,31,57,3
112,102,51,37,4
113,272,26,25,3
114,974,98,40,3
115,894,91,64,3
116,797,36,51,4
117,581,67,50,5
118,203,24,73,3
119,288,58,3,4
120,649,5,18,5
121,941,47,96,2
122,916,89,38,4
123,25,96,93,2
124,434,56,97,3
125,964,99,86,1
126,301,31,39,1
127,853,27,32,3
128,177,38,56,2
129,937,85,70,5
130,574,8,10,2
131,619,68,100,2
132,148,26,52,2
133,879,33,75,5
134,700,14,71,4
135,366,56,30,2
136,812,42,82,2
137,869,62,92,1
138,516,1,51,4
139,801,20,65,1
140,705,40,80,1
141,891,89,34,1
142,382,58,10,3
143,583,68,4,2
144,471,16,55,5
145,293,84,60,5
146,40,26,4,1
147,825,31,37,3
148,135,33,53,5
149,773,28,22,5
150,627,46,9,5
151,61,20,54,3
152,545,70,64,1
153,729,14,98,5
154,521,72,33,1
155,798,40,28,3
156,445,75,8,2
157,35,19,97,1
158,838,43,70,4
159,415,6,18,5
160,165,45,26,2
161,554,10,72,1
162,664,94,28,4
163,956,52,74,4
164,559,44,62,4
165,425,5,25,3
166,362,16,76,1
167,24,35,12,1
168,55,10,5,2
169,857,98,71,1
170,479,2,10,4
171,497,81,48,2
172,181,47,44,4
173,404,5,62,5
174,639,89,5,2
175,381,2,63,5
176,508,51,86,3
177,662,69,17,4
178,79,95,65,5
179,36,87,59,4
180,941,81,58,4
181,394,58,65,1
182,464,82,55,5
183,942,63,39,5
184,962,66,91,2
185,204,28,7,2
186,109,38,2,1
187,103,62,69,2
188,80,66,32,2
189,847,69,3,2
190,817,27,29,3
191,127,70,70,2
192,633,94,88,1
193,738,42,81,5
194,289,55,18,3
195,753,57,81,3
196,991,74,42,1
197,378,26,78,3
198,347,87,94,3
199,860,24,43,4
200,754,74,76,2
201,112,38,91,3
202,510,50,83,2
203,327,30,90,1
204,395,6,2,5
205,907,85,10,2
206,326,96,96,4
207,952,49,58,3
208,636,9,45,1
209,300,61,33,3
210,676,22,76,5
211,794,79,79,1
212,100,94,50,5
213,67,100,55,1
214,447,74,89,3
215,357,71,12,5
216,151,69,77,5
217,622,87,11,5
218,93,43,71,2
219,82,40,83,5
220,709,15,9,3
221,94,24,99,3
222,380,87,38,5
223,815,24,95,5
224,987,60,76,2
225,382,71,9,3
226,780,38,56,4
227,430,25,91,2
228,120,44,50,2
229,21,41,47,3
230,65,75,12,4
231,126,83,65,4
232,749,69,59,2
233,963,41,38,3
234,293,9,87,3
235,231,44,97,5
236,22,98,97,3
237,52,33,90,1
238,532,93,100,5
239,83,26,56,4
240,970,8,53,1
241,633,22,70,2
242,460,100,63,4
243,589,39,91,4
244,55,92,29,5
245,951,6,90,2
246,461,11,63,2
247,284,17,19,4
248,469,39,36,2
249,588,27,8,2
250,975,26,99,3
251,701,4,54,2
252,316,42,82,4
253,688,28,17,1
254,912,8,83,5
255,951,42,73,3
256,617,92,42,1
257,934,88,87,3
258,54,17,3,3
259,383,78,82,3
260,988,99,16,2
261,598,75,39,2
262,971,83,85,3
263,840,7,47,1
264,421,14,28,1
265,65,8,87,4
266,815,54,100,4
267,997,92,56,3
268,772,73,95,4
269,852,38,25,2
270,456,21,13,2
271,955,28,61,2
272,236,88,68,4
273,622,5,36,2
274,122,3,68,3
275,525,48,78,5
276,525,31,86,5
277,556,97,57,1
278,878,80,41,3
279,142,49,3,3
280,758,79,63,4
281,707,81,22,5
282,145,62,2,5
283,357,61,59,4
284,398,56,44,1
285,906,73,35,3
286,519,46,79,5
287,402,30,63,3
288,864,70,95,4
289,155,46,93,5
290,497,77,26,1
291,465,5,99,4
292,498,35,33,2
293,637,58,25,2
294,85,54,13,3
295,136,59,16,3
296,147,70,65,1
297,190,70,35,3
298,898,88,48,3
299,671,98,18,4
300,200,23,5,5
301,177,35,28,2
302,185,4,9,3
303,129,54,47,2
304,214,90,37,1
305,508,34,70,2
306,48,10,80,3
307,632,69,9,3
308,875,16,93,2
309,70,1,28,5
310,808,9,75,3
311,192,99,21,3
312,377,93,49,2
313,622,76,37,3
314,468,73,75,1
315,46,15,26,1
316,716,69,90,5
317,517,75,54,1
318,116,87,45,2
319,537,40,25,1
320,276,74,38,1
321,29,57,33,5
322,219,9,33,3
323,128,24,90,2
324,598,48,68,2
325,792,65,50,3
326,96,59,54,4
327,591,56,75,3
328,437,57,13,2
329,291,34,37,5
330,650,61,58,2
331,362,50,99,2
332,610,94,24,1
333,110,23,16,2
334,253,49,17,5
335,194,9,29,5
336,181,6,90,5
337,89,6,53,1
338,416,70,99,5
339,121,90,40,3
340,970,92,87,1
341,819,98,26,3
342,179,73,67,5
343,931,72,56,3
344,576,48,28,5
345,772,21,19,5
346,330,72,43,1
347,513,74,25,3
348,123,71,62,4
349,296,9,59,3
350,162,94,49,2
351,537,60,6,2
352,343,46,14,3
353,72,55,99,2
354,329,69,81,1
355,262,14,69,1
356,763,12,60,3
357,477,61,42,4
358,355,11,93,5
359,833,75,97,3
360,133,94,74,5
361,939,21,19,2
362,75,93,75,4
363,579,5,85,4
364,148,83,80,4
365,209,80,17,5
366,172,19,82,2
367,669,64,53,5
